nh4,no3,po4,so,thetao,chl_t-1,nh4_t-1,no3_t-1,po4_t-1,so_t-1,thetao_t-1,chl_7day_avg,nh4_7day_avg,no3_7day_avg,po4_7day_avg,so_7day_avg,thetao_7day_avg,n_p_ratio,n_nh4_ratio,p_nh4_ratio,chl_monthly_median,chl_anomaly,bloom_proxy_label
0.017350215,0.01204986,0.019199682,36.8549,22.04608,0.07971943,0.016018674,0.010760763,0.014798748,37.205296,22.558727,0.09468676894903183,0.015376152470707893,0.009178311098366976,0.024801764903323992,36.8226558140346,22.38889585222517,0.6276073,0.69450784,1.1065962,0.07219525799155235,0.015672456473112106,0
0.017350577,0.012048408,0.0191983,36.854904,22.04609,0.087867714,0.017350215,0.01204986,0.019199682,36.8549,22.04608,0.09123789412634713,0.01583002813692604,0.009898627975157328,0.02235779113003186,36.886876242501394,22.343251637050084,0.6275768,0.69440967,1.1064935,0.0724102109670639,0.015456564724445343,0
0.018040372,0.01349144,0.014761978,37.152287,22.174725,0.07561852,0.015456455,0.01059142,0.011767401,37.26978,22.56483,0.08590591698884964,0.014899960186864649,0.009540263563394547,0.01801993857536997,37.07274409702846,22.5471989767892,0.9139317,0.7478471,0.81827456,0.07154607027769089,0.012911729514598846,0
0.018040676,0.013489909,0.014761235,37.152287,22.174736,0.0844578,0.018040372,0.01349144,0.014761978,37.152287,22.174725,0.08431079345090049,0.015495239224817072,0.010325682482549123,0.016637184923248633,37.107439858572825,22.467943736485072,0.913874,0.7477496,0.8182196,0.07276783138513565,0.011689409613609314,0
0.01709456,0.01299804,0.011186761,37.3492,22.308447,0.07227611,0.013526104,0.008946594,0.009381633,37.333496,22.578146,0.07751295822007316,0.01322299920554672,0.008448155596852303,0.012090624043984073,37.26322719029018,22.671787806919642,1.1619127,0.7603612,0.6544047,0.07179304212331772,0.009654432535171509,0
0.017094797,0.012996459,0.011186665,37.3492,22.30846,0.081447475,0.01709456,0.01299804,0.011186761,37.3492,22.308447,0.07779335656336375,0.013862986782831805,0.009213677075292383,0.011695509776473045,37.28129959106445,22.581083025251115,1.1617814,0.7602582,0.65439004,0.07180739566683769,0.009640056639909744,0
0.014116875,0.009888045,0.009909737,37.36218,22.366674,0.072041996,0.010695325,0.0060517737,0.0090234475,37.354057,22.582222,0.07450309608663831,0.01051551808736154,0.005771624323512826,0.010415947596941675,37.32200132097517,22.681052616664342,0.997811,0.7004415,0.7019781,0.07219679281115532,0.007866736501455307,0
0.014116878,0.0098863235,0.009909968,37.36218,22.36669,0.08006353,0.014116875,0.009888045,0.009909737,37.36218,22.366674,0.07560434618166514,0.01109470599996192,0.006427553349307605,0.010333891026675701,37.33003289358957,22.600710460117885,0.9976141,0.7003194,0.7019943,0.07235164195299149,0.007712125778198242,0
0.011483547,0.0067127203,0.0095167,37.36,22.40676,0.07512973,0.008360355,0.0034450078,0.01126999,37.334187,22.574717,0.07533535361289978,0.008107931087059634,0.00325870345945337,0.01199543462800128,37.33478546142578,22.65940502711705,0.70536214,0.5845511,0.8287248,0.07367242500185966,0.005699928849935532,0
0.011483561,0.0067110276,0.009516957,37.36,22.406775,0.079372354,0.011483547,0.0067127203,0.0095167,37.36,22.40676,0.07652722192662102,0.008677359271262373,0.0037998329415651305,0.01171917122389589,37.339151109967915,22.589357103620255,0.70516527,0.584403,0.82874614,0.07486535236239433,0.004507269710302353,0
0.010431654,0.004922384,0.011354076,37.356487,22.438337,0.081699625,0.007311941,0.0020106987,0.017727138,37.291763,22.535538,0.07866388133593968,0.006877629552036524,0.002053942672708737,0.016204940820378915,37.330284118652344,22.64182036263602,0.43353453,0.47186995,1.0884253,0.07402344793081284,0.006662435829639435,0
0.010431669,0.004920682,0.011354413,37.356487,22.438353,0.080685884,0.010431654,0.004922384,0.011354076,37.356487,22.438337,0.07975905601467405,0.007495486776211432,0.00245335406257904,0.01576183283967631,37.3338497706822,22.573989868164062,0.43337175,0.47170612,1.088456,0.07402344793081284,0.006662845611572266,0
0.010730818,0.0043281647,0.017856747,37.32618,22.434168,0.090163395,0.00739822,0.0016690004,0.02815935,37.276882,22.504118,0.08316763916185924,0.006929149851202965,0.0022980711738845067,0.021805030160716603,37.32951409476144,22.649364471435547,0.2423826,0.40333968,1.664062,0.07623643055558205,0.009672392159700394,0
0.010730738,0.004326366,0.017856441,37.32618,22.434183,0.08590882,0.010730818,0.0043281647,0.017856747,37.32618,22.434168,0.08450655213424138,0.007531764318368265,0.002406747038808784,0.02189229109457561,37.32996804373605,22.572963169642858,0.24228601,0.40317506,1.664046,0.07653626054525375,0.009372510015964508,0
0.011800735,0.004394775,0.030206861,37.266033,22.398842,0.09646507,0.007561895,0.0016859302,0.038011555,37.345318,22.502613,0.08716147180114474,0.007926101264144694,0.003660942111829562,0.02683178282209805,37.346916743687224,22.661466326032365,0.14548929,0.37241533,2.559744,0.07771087065339088,0.017796766012907028,0
0.011800511,0.0043928013,0.030205442,37.266327,22.399271,0.09550764,0.011800735,0.004394775,0.030206861,37.266033,22.398842,0.08939744319234576,0.008342604019812174,0.0032398889805855496,0.02850224689713546,37.340567452566965,22.57348578316825,0.14543079,0.37225518,2.5596724,0.07910284027457237,0.01640387997031212,0
0.0123606315,0.0043831784,0.043901175,37.279213,22.36343,0.09742416,0.0069406875,0.0015113715,0.042320114,37.4656,22.477781,0.08926005129303251,0.009310888592153788,0.005672644441282111,0.029540341613548144,37.38979830060686,22.648341042654856,0.09984194,0.35460797,3.5516937,0.0764765776693821,0.02893998846411705,0
